track_id,date_time,lon,lat
a,2024-01-01 12:00:00,1.371,-0.0627
a,2024-01-01 12:20:00,1.1694,3.5288
a,2024-01-01 12:40:00,2.2065,1.8612
a,2024-01-01 13:00:00,3.6119,2.3638
a,2024-01-01 13:20:00,5.5357,-0.5769
b,2024-01-01 12:00:00,-2.4405,-1.7632
b,2024-01-01 12:20:00,-1.427,-1.9431
b,2024-01-01 12:40:00,-3.3802,-0.7828
b,2024-01-01 13:00:00,-0.2703,-0.3566
b,2024-01-01 13:20:00,-0.9581,-1.5686
c,2024-01-01 12:00:00,-0.7845,0.4328
c,2024-01-01 12:20:00,-4.0496,1.0655
c,2024-01-01 12:40:00,-3.8075,1.2897
c,2024-01-01 13:00:00,-3.4103,0.8278
c,2024-01-01 13:20:00,-5.5053,3.0464
