"bird_id","status","sex","colony_coord","date_time","X","Y"
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 00:03:47 UTC",-67.868745,-67.477225
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 00:13:41 UTC",-67.637237,-67.439308
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 00:23:41 UTC",-67.615306,-67.420771
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 00:33:41 UTC",-67.615045,-67.420812
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 00:43:40 UTC",-67.615105,-67.420788
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 00:53:39 UTC",-67.608916,-67.416313
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:03:43 UTC",-67.60288,-67.416491
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:13:45 UTC",-67.614402,-67.420427
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:23:44 UTC",-67.614373,-67.420496
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:33:44 UTC",-67.614273,-67.420522
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:43:44 UTC",-67.614158,-67.420519
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 01:53:42 UTC",-67.6142,-67.420511
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:03:42 UTC",-67.620793,-67.423817
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:13:51 UTC",-67.61057,-67.418316
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:23:41 UTC",-67.613089,-67.419306
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:33:39 UTC",-67.613042,-67.4196
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:43:40 UTC",-67.614356,-67.420616
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 02:53:39 UTC",-67.61425,-67.420677
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:03:37 UTC",-67.614357,-67.420584
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:13:40 UTC",-67.614501,-67.420548
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:23:40 UTC",-67.614475,-67.42056
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:33:38 UTC",-67.614678,-67.420439
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:43:48 UTC",-67.616966,-67.421553
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 03:53:42 UTC",-67.620579,-67.422543
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:03:39 UTC",-67.614555,-67.420448
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:13:39 UTC",-67.614666,-67.420429
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:23:38 UTC",-67.614624,-67.420431
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:33:37 UTC",-67.614616,-67.420472
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:44:14 UTC",-67.614425,-67.420159
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 04:54:15 UTC",-67.611035,-67.417953
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:04:15 UTC",-67.614575,-67.420411
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:14:18 UTC",-67.614611,-67.420474
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:24:10 UTC",-67.614694,-67.420498
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:34:09 UTC",-67.616861,-67.420344
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:44:03 UTC",-67.616145,-67.420664
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 05:54:01 UTC",-67.615793,-67.420836
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:04:03 UTC",-67.616109,-67.421373
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:13:55 UTC",-67.617733,-67.422016
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:23:56 UTC",-67.622419,-67.424028
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:33:52 UTC",-67.779206,-67.465718
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 06:43:46 UTC",-67.962835,-67.521971
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 21:52:22 UTC",-68.018995,-67.536191
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 22:02:20 UTC",-67.857422,-67.497745
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 22:12:15 UTC",-67.66811,-67.462066
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 22:22:46 UTC",-67.620689,-67.423216
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 22:32:46 UTC",-67.614206,-67.420581
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 22:42:40 UTC",-67.614381,-67.42052
"KB_29","good","Male",c(-68.068935, -67.570716),"2022-01-06 22:52:42 UTC",-67.614317,-67.420597
