"Date","Time","Longitude","Latitude"
"20/03/2020","12:26:49.59",-38.0650788,-54.0089592
"20/03/2020","12:26:53.84",-38.0650173,-54.0089868
"20/03/2020","12:36:57.57",-38.065585,-54.0092023
"20/03/2020","12:36:57.67",-38.0654999,-54.0092122
"20/03/2020","12:47:04.59",-38.065279,-54.0088774
"20/03/2020","12:57:10.10",-38.0654381,-54.0092689
"20/03/2020","13:07:17.31",-38.0652873,-54.009331
"20/03/2020","13:07:18.31",-38.0652836,-54.0092309
"20/03/2020","13:17:26.93",-38.0657387,-54.009784
"20/03/2020","13:27:31.25",-38.0650199,-54.0090768
"20/03/2020","13:37:35.67",-38.0654529,-54.0095445
"20/03/2020","13:37:35.76",-38.0655026,-54.009607
"20/03/2020","13:47:39.59",-38.065212,-54.0094251
"20/03/2020","13:57:42.79",-38.0654087,-54.009552
"20/03/2020","14:07:46.71",-38.0653893,-54.0092045
"20/03/2020","14:17:50.82",-38.0653493,-54.009154
"20/03/2020","14:17:50.93",-38.0653692,-54.0093143
"20/03/2020","14:28:13.24",-38.0654703,-54.0098542
"20/03/2020","14:38:51.35",-38.0651505,-54.0090836
"20/03/2020","14:59:28.49",-38.0652612,-54.0090994
"20/03/2020","15:09:34.91",-38.0655272,-54.0091115
"20/03/2020","15:09:35.01",-38.0654522,-54.0090984
"20/03/2020","15:19:44.52",-38.0652515,-54.0092139
"20/03/2020","15:40:55.45",-38.0635253,-54.0076977
"20/03/2020","15:40:56.45",-38.0632935,-54.0075394
"20/03/2020","15:40:57.45",-38.0634757,-54.0076626
"20/03/2020","15:40:58.45",-38.0636695,-54.0077938
"20/03/2020","15:40:59.45",-38.0634957,-54.0076756
"20/03/2020","15:41:00.45",-38.0635411,-54.0077067
"20/03/2020","15:41:01.45",-38.0635875,-54.0077383
"20/03/2020","15:41:02.45",-38.0637433,-54.0078448
"20/03/2020","15:41:03.45",-38.063787,-54.0078741
"20/03/2020","15:41:04.45",-38.0637779,-54.0078682
"20/03/2020","15:41:05.45",-38.063553,-54.0077147
"20/03/2020","15:41:06.45",-38.0635047,-54.0076821
"20/03/2020","15:41:07.45",-38.0637434,-54.007844
"20/03/2020","15:41:08.45",-38.0639384,-54.007976
"20/03/2020","15:41:09.45",-38.0636288,-54.0077652
"20/03/2020","15:41:10.45",-38.063699,-54.0078122
"20/03/2020","15:41:11.45",-38.0634596,-54.0076495
"20/03/2020","15:41:12.45",-38.0634914,-54.0076716
"20/03/2020","15:41:13.45",-38.063529,-54.0076977
"20/03/2020","15:51:23.07",-38.0636807,-54.0077676
"20/03/2020","16:03:03.38",-38.0732509,-54.0072274
"20/03/2020","16:03:04.38",-38.0733048,-54.0072441
"20/03/2020","16:03:05.38",-38.0732479,-54.0072163
"20/03/2020","16:03:06.38",-38.0732327,-54.007255
"20/03/2020","16:03:07.38",-38.0730358,-54.007151
"20/03/2020","16:03:08.38",-38.0730736,-54.0071793
"20/03/2020","16:03:09.38",-38.0732422,-54.0072436
"20/03/2020","16:03:10.38",-38.0732924,-54.0072303
"20/03/2020","16:03:11.38",-38.0733139,-54.0072665
"20/03/2020","16:03:12.38",-38.0733622,-54.0072329
"20/03/2020","16:03:13.38",-38.0732955,-54.0072461
"20/03/2020","16:03:14.38",-38.0732145,-54.0072397
"20/03/2020","16:03:15.38",-38.0732731,-54.0072154
"20/03/2020","16:03:16.38",-38.0733251,-54.0072676
"20/03/2020","16:03:17.38",-38.0733315,-54.0072811
"20/03/2020","16:03:18.38",-38.07327,-54.007248
"20/03/2020","16:03:19.38",-38.0630428,-54.0070361
"20/03/2020","16:03:20.38",-38.0630539,-54.0070424
"20/03/2020","16:03:21.38",-38.0630569,-54.0070439
"20/03/2020","16:03:22.38",-38.0630562,-54.0070433
"20/03/2020","16:03:23.38",-38.0630541,-54.0070417
"20/03/2020","16:03:24.38",-38.0630526,-54.0070409
"20/03/2020","16:03:25.38",-38.0630551,-54.0070415
"20/03/2020","16:03:26.38",-38.0630599,-54.0070439
"20/03/2020","16:03:27.38",-38.0630645,-54.0070465
"20/03/2020","16:03:28.38",-38.063061,-54.0070444
"20/03/2020","16:03:29.38",-38.0630603,-54.0070439
"20/03/2020","16:03:30.38",-38.0630578,-54.0070423
"20/03/2020","16:03:31.38",-38.0630555,-54.0070414
"20/03/2020","16:03:32.38",-38.0630569,-54.0070426
"20/03/2020","16:03:33.38",-38.0630584,-54.0070435
"20/03/2020","16:03:34.38",-38.0630566,-54.007042
"20/03/2020","16:03:35.38",-38.0630547,-54.0070404
"20/03/2020","16:03:36.38",-38.063053,-54.0070386
"20/03/2020","16:03:37.38",-38.0630494,-54.0070352
"20/03/2020","16:03:38.38",-38.0630509,-54.0070357
"20/03/2020","16:03:39.38",-38.0630504,-54.0070351
"20/03/2020","16:03:40.38",-38.0630513,-54.007035
"20/03/2020","16:03:41.38",-38.063049,-54.0070335
