bird_id,trip_id,sex,colony,year,breeding_stage,date_gmt,time_gmt,datetime_gmt,datetime_rothera,longitude,latitude
KB_42644,KB_42644_01,Male,Killingbeck,2022,incub,06/01/2022,00:03:47,06/01/2022 00:03,05/01/2022 21:03,-67.868745,-67.477225
KB_42644,KB_42644_01,Male,Killingbeck,2022,incub,06/01/2022,00:13:41,06/01/2022 00:13,05/01/2022 21:13,-67.637237,-67.439308
KB_42644,KB_42644_01,Male,Killingbeck,2022,incub,06/01/2022,00:23:41,06/01/2022 00:23,05/01/2022 21:23,-67.615306,-67.420771
KB_42644,KB_42644_01,Male,Killingbeck,2022,incub,06/01/2022,00:33:41,06/01/2022 00:33,05/01/2022 21:33,-67.615045,-67.420812
KB_42644,KB_42644_01,Male,Killingbeck,2022,incub,06/01/2022,00:43:40,06/01/2022 00:43,05/01/2022 21:43,-67.615105,-67.420788
KB_42657,KB_42657_01,Male,Killingbeck,2022,incub,04/01/2022,17:17:06,04/01/2022 17:17,04/01/2022 14:17,-68.069835,-67.570648
KB_42657,KB_42657_01,Male,Killingbeck,2022,incub,04/01/2022,17:27:05,04/01/2022 17:27,04/01/2022 14:27,-68.069674,-67.570699
KB_42657,KB_42657_01,Male,Killingbeck,2022,incub,04/01/2022,17:37:07,04/01/2022 17:37,04/01/2022 14:37,-68.069625,-67.570665
KB_42657,KB_42657_01,Male,Killingbeck,2022,incub,04/01/2022,17:46:59,04/01/2022 17:46,04/01/2022 14:46,-68.069477,-67.570643
KB_42657,KB_42657_01,Male,Killingbeck,2022,incub,04/01/2022,17:56:57,04/01/2022 17:56,04/01/2022 14:56,-68.069794,-67.570652
KB_42718,KB_42718_01,Female,Killingbeck,2022,chick,04/01/2022,15:19:22,04/01/2022 15:19,04/01/2022 12:19,-68.069496,-67.570786
KB_42718,KB_42718_01,Female,Killingbeck,2022,chick,04/01/2022,15:29:18,04/01/2022 15:29,04/01/2022 12:29,-68.069439,-67.570719
KB_42718,KB_42718_01,Female,Killingbeck,2022,chick,04/01/2022,15:39:16,04/01/2022 15:39,04/01/2022 12:39,-68.069494,-67.570728
KB_42718,KB_42718_01,Female,Killingbeck,2022,chick,04/01/2022,15:49:15,04/01/2022 15:49,04/01/2022 12:49,-68.069747,-67.570743
KB_42718,KB_42718_01,Female,Killingbeck,2022,chick,04/01/2022,15:59:09,04/01/2022 15:59,04/01/2022 12:59,-68.069577,-67.570644
KB_42718,KB_42718_02,Female,Killingbeck,2022,chick,05/01/2022,15:19:22,05/01/2022 15:19,05/01/2022 12:19,-68.069496,-67.570786
KB_42718,KB_42718_02,Female,Killingbeck,2022,chick,05/01/2022,15:29:18,05/01/2022 15:29,05/01/2022 12:29,-68.069439,-67.570719
KB_42718,KB_42718_02,Female,Killingbeck,2022,chick,05/01/2022,15:39:16,05/01/2022 15:39,05/01/2022 12:39,-68.069494,-67.570728
KB_42718,KB_42718_02,Female,Killingbeck,2022,chick,05/01/2022,15:49:15,05/01/2022 15:49,05/01/2022 12:49,-68.069747,-67.570743
KB_42718,KB_42718_02,Female,Killingbeck,2022,chick,05/01/2022,15:59:09,05/01/2022 15:59,05/01/2022 12:59,-68.069577,-67.570644
