bird_id,sex,colony,day,month,year,hour,minute,second,sec_of_day,no_of_sats,lat,long,altitude,clock_offset,accuracy_indicator,Battery
SR_22_42962_01,Male,Shag_Rock,1,1,22,1,13,1,4381.52,6,-67.549189,-68.357525,1.75,-2.605,2.22E-06,4.16
SR_22_42962_01,Male,Shag_Rock,1,1,22,1,23,1,4981.255,8,-67.548169,-68.355019,5,-2.175,2.58E-06,4.18
SR_22_42962_01,Male,Shag_Rock,1,1,22,1,32,59,5579.275,11,-67.57739,-68.2984,5.25,-1.52,3.31E-06,4.16
SR_22_42962_01,Male,Shag_Rock,1,1,22,1,42,58,6178.18,8,-67.593898,-68.261236,14.75,-1.445,3.72E-06,4.16
SR_22_42962_01,Male,Shag_Rock,1,1,22,1,52,57,6777.045,9,-67.59391,-68.261271,6.5,-1.85,3.46E-06,4.18
SR_22_42962_01,Male,Shag_Rock,1,1,22,2,2,54,7374.96,8,-67.593879,-68.261329,10.25,-2.2,4.21E-06,4.16
KB_22_42657_19,Female,Killingbeck,4,1,22,0,7,13,433.53,6,-67.570671,-68.069507,11.75,9999.999,3.12E-06,4.14
KB_22_42657_19,Female,Killingbeck,4,1,22,0,17,7,1027.58,6,-67.57066,-68.069342,25.25,4.555,1.34E-06,4.16
KB_22_42657_19,Female,Killingbeck,4,1,22,0,27,6,1626.635,7,-67.570695,-68.069483,11.75,4.62,2.43E-06,4.16
KB_22_42657_19,Female,Killingbeck,4,1,22,0,37,6,2226.66,7,-67.570729,-68.069287,21.75,4.68,2.51E-06,4.16
KB_22_42657_19,Female,Killingbeck,4,1,22,0,47,4,2824.58,7,-67.57065,-68.069341,17,4.65,4.56E-06,4.16
KB_22_42657_19,Female,Killingbeck,4,1,22,0,57,3,3423.49,8,-67.570638,-68.06949,18.75,4.52,2.31E-06,4.16
KB_22_43002_22,Female,Killingbeck,4,1,22,0,25,10,1510.82,5,-67.57286,-68.076385,25.25,9999.999,4.88E-07,4.12
KB_22_43002_22,Female,Killingbeck,4,1,22,0,35,4,2104.87,5,-67.572735,-68.076485,-10.75,3.845,5.21E-07,4.12
KB_22_43002_22,Female,Killingbeck,4,1,22,0,45,3,2703.765,6,-67.572677,-68.076486,2.75,3.79,2.90E-06,4.12
KB_22_43002_22,Female,Killingbeck,4,1,22,0,55,2,3302.6,5,-67.57335,-68.072641,-141.75,3.655,7.62E-07,4.12
KB_22_43002_22,Female,Killingbeck,4,1,22,1,5,0,3900.645,6,-67.572648,-68.076464,2.75,3.555,1.19E-06,4.12
KB_22_43002_22,Female,Killingbeck,4,1,22,1,14,59,4499.705,8,-67.572684,-68.07649,14.25,3.625,1.93E-06,4.12
